Unix_Timestamp,Real_World_Time,Latitude,Longitude,Altitude_m,Roll_deg,Pitch_deg,Yaw_deg
1775785071.000363,2026-04-09 21:37:51.000,40.4285754,-86.9278143,185.44000244140625,-0.25340375304222107,-0.4399220943450928,3.5994646549224854
1775785071.100112,2026-04-09 21:37:51.100,40.4285754,-86.9278143,185.44000244140625,-0.25412335991859436,-0.44097673892974854,3.603485107421875
1775785071.200114,2026-04-09 21:37:51.200,40.4285754,-86.9278143,185.44000244140625,-0.2539654076099396,-0.4392915964126587,3.6055426597595215
1775785071.300151,2026-04-09 21:37:51.300,40.4285754,-86.9278143,185.42999267578125,-0.2548680603504181,-0.43861648440361023,3.6065402030944824
1775785071.400125,2026-04-09 21:37:51.400,40.4285754,-86.9278143,185.4199981689453,-0.25603604316711426,-0.43880772590637207,3.608675956726074
1775785071.500230,2026-04-09 21:37:51.500,40.4285754,-86.9278143,185.4199981689453,-0.25703921914100647,-0.4390452802181244,3.6077523231506348
1775785071.599972,2026-04-09 21:37:51.599,40.4285754,-86.9278143,185.4199981689453,-0.25752681493759155,-0.43841201066970825,3.6097359657287598
1775785071.699968,2026-04-09 21:37:51.699,40.4285754,-86.9278143,185.4099884033203,-0.25690528750419617,-0.43904250860214233,3.610398054122925
1775785071.799966,2026-04-09 21:37:51.799,40.4285754,-86.9278143,185.39999389648438,-0.25701403617858887,-0.44075751304626465,3.6120855808258057
1775785071.899999,2026-04-09 21:37:51.899,40.4285754,-86.9278143,185.39999389648438,-0.2570958733558655,-0.44113489985466003,3.612969160079956
1775785072.000149,2026-04-09 21:37:52.000,40.4285754,-86.9278143,185.38999938964844,-0.25679972767829895,-0.44028687477111816,3.6124753952026367
1775785072.099974,2026-04-09 21:37:52.099,40.4285754,-86.9278143,185.37998962402344,-0.2576276659965515,-0.439476877450943,3.611900806427002
1775785072.199929,2026-04-09 21:37:52.199,40.4285754,-86.9278143,185.37998962402344,-0.2584228515625,-0.44158247113227844,3.6113739013671875
