Unix_Timestamp,Real_World_Time,Latitude,Longitude,Altitude_m,Roll_deg,Pitch_deg,Yaw_deg
1777092480.600444,2026-04-25 00:48:00.600,40.4276276,-86.928817,194.9199981689453,3.147306203842163,-2.268479347229004,30.28999137878418
1777092480.700249,2026-04-25 00:48:00.700,40.4276275,-86.9288171,194.9199981689453,3.151047945022583,-2.2650861740112305,30.295835494995117
1777092480.800221,2026-04-25 00:48:00.800,40.4276275,-86.9288171,194.9099884033203,3.153186082839966,-2.264202356338501,30.29987144470215
1777092480.900241,2026-04-25 00:48:00.900,40.4276275,-86.9288171,194.9099884033203,3.157055377960205,-2.2638907432556152,30.301620483398438
1777092481.000237,2026-04-25 00:48:01.000,40.4276275,-86.928817,194.9099884033203,3.161200523376465,-2.2648746967315674,30.3009090423584
1777092481.100143,2026-04-25 00:48:01.100,40.4276274,-86.928817,194.9099884033203,3.164997100830078,-2.2638328075408936,30.29898452758789
1777092481.200307,2026-04-25 00:48:01.200,40.4276274,-86.928817,194.9099884033203,3.1677656173706055,-2.2618610858917236,30.294618606567383
1777092481.300226,2026-04-25 00:48:01.300,40.4276273,-86.928817,194.9099884033203,3.1679935455322266,-2.2618331909179688,30.293840408325195
1777092481.400321,2026-04-25 00:48:01.400,40.4276273,-86.9288171,194.9099884033203,3.1673762798309326,-2.262319803237915,30.293212890625
1777092481.500205,2026-04-25 00:48:01.500,40.4276273,-86.9288171,194.9099884033203,3.1715755462646484,-2.2623348236083984,30.292116165161133
1777092481.600355,2026-04-25 00:48:01.600,40.4276272,-86.9288171,194.9099884033203,3.1728241443634033,-2.2616758346557617,30.291231155395508
1777092481.700263,2026-04-25 00:48:01.700,40.4276272,-86.928817,194.9199981689453,3.1745591163635254,-2.263474702835083,30.29264259338379
1777092481.800372,2026-04-25 00:48:01.800,40.4276272,-86.928817,194.9199981689453,3.1751797199249268,-2.2662997245788574,30.29426383972168
1777092481.900221,2026-04-25 00:48:01.900,40.4276272,-86.928817,194.9199981689453,3.1727523803710938,-2.2679975032806396,30.296289443969727
1777092482.000194,2026-04-25 00:48:02.000,40.4276272,-86.9288171,194.9199981689453,3.1714870929718018,-2.2665252685546875,30.29790496826172
1777092482.100154,2026-04-25 00:48:02.100,40.4276271,-86.9288171,194.9199981689453,3.1709957122802734,-2.266242504119873,30.296899795532227
1777092482.200459,2026-04-25 00:48:02.200,40.4276271,-86.9288171,194.9199981689453,3.1692490577697754,-2.2655675411224365,30.296733856201172
1777092482.300328,2026-04-25 00:48:02.300,40.4276271,-86.9288171,194.9199981689453,3.173840284347534,-2.264111042022705,30.295888900756836
1777092482.400331,2026-04-25 00:48:02.400,40.4276271,-86.9288171,194.9199981689453,3.1767523288726807,-2.261260747909546,30.296146392822266
